한글명,추가명,표준코드,추가필터링,
3S,삼에스,KR7060310000,1,
AJ네트웍스,에이제이네트웍스,KR7095570008,,
AK홀딩스,에이케이홀딩스,KR7006840003,,
APS,APS홀딩스,KR7054620000,1,
AP시스템,,KR7265520007,,
AP위성,,KR7211270004,,
BF랩스,BFLABS,KR7139050009,,
BGF,,KR7027410000,,
BGF리테일,,KR7282330000,,
BGF에코머티리얼즈,,KR7126600006,,
BNK금융지주,,KR7138930003,,
BYC,비와이씨,KR7001460005,,
CG인바이츠,,KR7083790006,,
CJ,CJ그룹,KR7001040005,1,
CJ CGV,CGV,KR7079160008,,
CJ ENM,CJ E&M,KR7035760008,,
CJ 바이오사이언스,CJ바이오,KR7311690002,,
CJ대한통운,대한통운,KR7000120006,,
CJ씨푸드,삼호F&G,KR7011150000,,
CJ제일제당,,KR7097950000,,
CJ프레시웨이,프레시웨이,KR7051500007,,
CMG제약,,KR7058820002,,
CNT85,,KR7056730005,,
CR홀딩스,,KR7000480004,,
CS,,KR7065770000,1,
CSA 코스믹,,KR7083660001,,
CS홀딩스,,KR7000590000,,
DB,,KR7012030003,1,
DB손해보험,"동부화재,DB손보",KR7005830005,,
DB증권,"DB금융투자,동부증권",KR7016610008,,
DB하이텍,동부하이텍,KR7000990002,,
DGI,,KR7099520009,1,
DGP,,KR7060900008,1,
DH오토넥스,대유플러스,KR7000300004,,
DH오토리드,대유에이피,KR7290120005,,
DH오토웨어,대성엘텍,KR7025440009,,
DI동일,동일방직,KR7001530005,,
DKME,대경기계,KR7015590003,,
DL,,KR7000210005,1,
DL이앤씨,,KR7375500006,,
DMS,,KR7068790005,,
DN오토모티브,,KR7007340003,,
DRB동일,,KR7004840005,,
DSC인베스트먼트,,KR7241520006,,
DSR,,KR7155660004,,
DSR제강,,KR7069730000,,
DS단석,,KR7017860008,,
DXVX,디엑스앤브이엑스,KR7180400004,,
DYP,,KR7092780006,1,
E1,,KR7017940008,1,
E8,"이에이트,E8IGHT",KR7418620001,1,
EDGC,이원다이애그노믹스,KR7245620000,,
EG,,KR7037370004,1,
ES큐브,,KR7050120005,,
F&F,,KR7383220001,,
F&F홀딩스,,KR7007700008,,
FSN,,KR7214270001,,
GH신소재,,KR7130500002,,
GKL,그랜드코리아레저,KR7114090004,1,
GRT,,HK0000307485,1,
GS,,KR7078930005,1,
GST,글로벌스탠다드테크놀로지,KR7083450007,,
GS건설,,KR7006360002,,
GS글로벌,,KR7001250000,,
GS리테일,,KR7007070006,,
GS피앤엘,,KR7499790004,,
HB솔루션,,KR7297890006,,
HB인베스트먼트,,KR7440290005,,
HB테크놀러지,,KR7078150000,,
HC보광산업,,KR7225530005,,
HC홈센타,,KR7060560000,,
HDC,,KR7012630000,1,
HDC랩스,,KR7039570007,,
HDC현대EP,,KR7089470009,,
HDC현대산업개발,,KR7294870001,,
HD한국조선해양,,KR7009540006,,
HD현대,현대,KR7267250009,,
HD현대건설기계,현대건설기계,KR7267270007,,
HD현대마린솔루션,현대마린솔루션,KR7443060009,,
HD현대마린엔진,현대마린엔진,KR7071970008,,
HD현대미포,현대미포조선,KR7010620003,,
HD현대에너지솔루션,현대에너지솔루션,KR7322000001,,
HD현대인프라코어,현대인프라코어,KR7042670000,,
HD현대일렉트릭,현대일렉트릭,KR7267260008,,
HD현대중공업,현대중공업,KR7329180004,,
HJ중공업,,KR7097230007,,
HK이노엔,,KR7195940002,,
HL D&I,,KR7014790000,,
HLB,,KR7028300002,1,
HLB글로벌,,KR7003580008,,
HLB바이오스텝,,KR7278650007,,
HLB생명과학,,KR7067630004,,
HLB이노베이션,,KR7024850000,,
HLB제넥스,,KR7187420005,,
HLB제약,,KR7047920004,,
HLB테라퓨틱스,,KR7115450009,,
HLB파나진,,KR7046210001,,
HLB펩,,KR7196300008,,
HL만도,,KR7204320006,,
HL홀딩스,,KR7060980000,,
HMM,현대상선,KR7011200003,1,
HPSP,,KR7403870009,1,
HRS,,KR7036640001,1,
HS애드,,KR7035000009,,
HS화성,,KR7002460004,,
HS효성,,KR7487570004,,
HS효성첨단소재,,KR7298050006,,
IHQ,,KR7003560000,1,
INVENI,"인베니,예스코홀딩스",KR7015360001,,
